Playing racquetball,413,493,572,651,7.005757426,7.003917445,7.012203795,7.005854543,7.001053922
"Rock climbing, ascending rock",649,774,899,1024,11.00963347,11.00615599,11.00901772,11.01094971,11.01241047
"Rock climbing, rappelling",472,563,654,745,8.008619399,8.00447708,8.007851392,8.010190334,8.011958789
"Jumping rope, fast",708,844,981,1117,12.00980687,12.00671562,12.00466532,12.0152855,12.01256103
"Jumping rope, moderate",590,704,817,931,10.00946008,10.00559635,10.01337012,10.00661392,10.01225991
"Jumping rope, slow",472,563,654,745,8.008619399,8.00447708,8.007851392,8.010190334,8.011958789
Rugby,590,704,817,931,10.00946008,10.00559635,10.01337012,10.00661392,10.01225991
"Shuffleboard, lawn bowling",177,211,245,279,3.001014073,3.001678905,3.00116633,3.000759376,3.000451681
Skateboarding,295,352,409,465,5.004916749,5.002798175,5.006685062,5.009430958,5.000752801
Roller skating,413,493,572,651,7.005757426,7.003917445,7.012203795,7.005854543,7.001053922
"Roller blading, in-line skating",708,844,981,1117,12.00980687,12.00671562,12.00466532,12.0152855,12.01256103
Sky diving,177,211,245,279,3.001014073,3.001678905,3.00116633,3.000759376,3.000451681
"Soccer, competitive",590,704,817,931,10.00946008,10.00559635,10.01337012,10.00661392,10.01225991
Playing soccer,413,493,572,651,7.005757426,7.003917445,7.012203795,7.005854543,7.001053922
Softball or baseball,295,352,409,465,5.004916749,5.002798175,5.006685062,5.009430958,5.000752801
"Softball, officiating",236,281,327,372,4.001187469,4.00223854,3.996813928,4.005095167,4.000602241
"Softball, pitching",354,422,490,558,6.002028146,6.00335781,6.00233266,6.001518752,6.000903362
Squash,708,844,981,1117,12.00980687,12.00671562,12.00466532,12.0152855,12.01256103
"Table tennis, ping pong",236,281,327,372,4.001187469,4.00223854,3.996813928,4.005095167,4.000602241
Tai chi,236,281,327,372,4.001187469,4.00223854,3.996813928,4.005095167,4.000602241
Playing tennis,413,493,572,651,7.005757426,7.003917445,7.012203795,7.005854543,7.001053922
"Tennis, doubles",354,422,490,558,6.002028146,6.00335781,6.00233266,6.001518752,6.000903362
"Tennis, singles",472,563,654,745,8.008619399,8.00447708,8.007851392,8.010190334,8.011958789
Trampoline,207,246,286,326,3.504564889,3.510438042,3.498990129,3.502927271,3.505904115
"Volleyball, competitive",472,563,654,745,8.008619399,8.00447708,8.007851392,8.010190334,8.011958789
Playing volleyball,177,211,245,279,3.001014073,3.001678905,3.00116633,3.000759376,3.000451681
